id,code,name,decimal
008,ALL,Лек,2
012,DZD,Алжирский динар,2
032,ARS,Аргентинское песо,2
036,AUD,Австралийский доллар,2
044,BSD,Багамский доллар,2
048,BHD,Бахрейнский динар,3
050,BDT,Така,2
051,AMD,Армянский драм,2
052,BBD,Барбадосский доллар,2
060,BMD,Бермудский доллар,2
064,BTN,Нгултрум,2
068,BOB,Боливиано,2
072,BWP,Пула,2
084,BZD,Белизский доллар,2
090,SBD,Доллар Соломоновых Островов,2
096,BND,Брунейский доллар,2
104,MMK,Кьят,2
108,BIF,Бурундийский франк,0
116,KHR,Риель,2
124,CAD,Канадский доллар,2
132,CVE,Эскудо Кабо-Верде,2
136,KYD,Доллар Островов Кайман,2
144,LKR,Шри-ланкийская рупия,2
152,CLP,Чилийское песо,0
156,CNY,Юань,2
170,COP,Колумбийское песо,2
174,KMF,Коморский франк,0
188,CRC,Коста-риканский колон,2
191,HRK,Куна,2
192,CUP,Кубинское песо,2
203,CZK,Чешская крона,2
208,DKK,Датская крона,2
214,DOP,Доминиканское песо,2
222,SVC,Сальвадорский колон,2
230,ETB,Эфиопский быр,2
232,ERN,Накфа,2
238,FKP,Фунт Фолклендских островов,2
242,FJD,Доллар Фиджи,2
262,DJF,Франк Джибути,0
270,GMD,Даласи,2
292,GIP,Гибралтарский фунт,2
320,GTQ,Кетсаль,2
324,GNF,Гвинейский франк,0
328,GYD,Гайанский доллар,2
332,HTG,Гурд,2
340,HNL,Лемпира,2
344,HKD,Гонконгский доллар,2
348,HUF,Форинт,2
352,ISK,Исландская крона,0
356,INR,Индийская рупия,2
360,IDR,Рупия,2
364,IRR,Иранский риал,2
368,IQD,Иракский динар,3
376,ILS,Новый израильский шекель,2
388,JMD,Ямайский доллар,2
392,JPY,Иена,0
398,KZT,Тенге,2
400,JOD,Иорданский динар,3
404,KES,Кенийский шиллинг,2
408,KPW,Северокорейская вона,2
410,KRW,Вона,0
414,KWD,Кувейтский динар,3
417,KGS,Сом,2
418,LAK,Лаосский кип,2
422,LBP,Ливанский фунт,2
426,LSL,Лоти,2
430,LRD,Либерийский доллар,2
434,LYD,Ливийский динар,3
446,MOP,Патака,2
454,MWK,Малавийская квача,2
458,MYR,Малайзийский ринггит,2
462,MVR,Руфия,2
480,MUR,Маврикийская рупия,2
484,MXN,Мексиканское песо,2
496,MNT,Тугрик,2
498,MDL,Молдавский лей,2
504,MAD,Марокканский дирхам,2
512,OMR,Оманский риал,3
516,NAD,Доллар Намибии,2
524,NPR,Непальская рупия,2
532,ANG,Нидерландский антильский гульден,2
533,AWG,Арубанский флорин,2
548,VUV,Вату,0
554,NZD,Новозеландский доллар,2
558,NIO,Золотая кордоба,2
566,NGN,Найра,2
578,NOK,Норвежская крона,2
586,PKR,Пакистанская рупия,2
590,PAB,Бальбоа,2
598,PGK,Кина,2
600,PYG,Гуарани,2
604,PEN,Соль,2
608,PHP,Филиппинское песо,2
634,QAR,Катарский риал,2
643,RUB,Российский рубль,2
646,RWF,Франк Руанды,0
654,SHP,Фунт Святой Елены,2
682,SAR,Саудовский риял,2
690,SCR,Сейшельская рупия,2
694,SLL,Леоне,2
702,SGD,Сингапурский доллар,2
704,VND,Донг,0
706,SOS,Сомалийский шиллинг,2
710,ZAR,Рэнд,2
728,SSP,Южносуданский фунт,2
748,SZL,Лилангени,2
752,SEK,Шведская крона,2
756,CHF,Швейцарский франк,2
760,SYP,Сирийский фунт,2
764,THB,Бат,2
776,TOP,Паанга,2
780,TTD,Доллар Тринидада и Тобаго,2
784,AED,Дирхам ОАЭ,2
788,TND,Тунисский динар,3
800,UGX,Угандийский шиллинг,2
807,MKD,Денар,2
818,EGP,Египетский фунт,2
826,GBP,Фунт стерлингов,2
834,TZS,Танзанийский шиллинг,2
840,USD,Доллар США,2
858,UYU,Уругвайское песо,2
860,UZS,Узбекский сум,2
882,WST,Тала,2
886,YER,Йеменский риал,2
901,TWD,Новый тайваньский доллар,2
925,SLE,Леоне,2
926,VED,Боливар Соберано,2
928,VES,Боливар Соберано,2
929,MRU,Угия,1
930,STN,Добра,2
931,CUC,Конвертируемое песо,2
932,ZWL,Доллар Зимбабве,2
933,BYN,Белорусский рубль,2
934,TMT,Новый туркменский манат,2
936,GHS,Ганский седи,2
938,SDG,Суданский фунт,2
940,UYI,Уругвайское песо в индексированных единицах,2
941,RSD,Сербский динар,2
943,MZN,Мозамбикский метикал,2
944,AZN,Азербайджанский манат,2
946,RON,Румынский лей,2
949,TRY,Турецкая лира,2
950,XAF,Франк КФА ВЕАС,0
951,XCD,Восточно-карибский доллар,2
952,XOF,Франк КФА ВСЕАО,0
953,XPF,Франк КФП,0
967,ZMW,Замбийская квача,2
968,SRD,Суринамский доллар,2
969,MGA,Малагасийский ариари,1
970,COU,Единица реальной стоимости,2
971,AFN,Афгани,2
972,TJS,Сомони,2
973,AOA,Кванза,2
975,BGN,Болгарский лев,2
976,CDF,Конголезский франк,2
977,ВАМ,Конвертируемая марка,2
978,EUR,Евро,2
980,UAH,Гривна,2
981,GEL,Лари,2
985,PLN,Злотый,2
986,BRL,Бразильский реал,2